昂贵,ang2gui4,expensive;costly
拜访,bai4fang3,pay a visit;call on
包围,bao1wei2,to surround;to encircle;to hem in
报复,bao4fu4,to make reprisals;to retaliate;revenge;retaliation
背叛,bei4pan4,to betray
鼻涕,bi2ti4,nasal mucus;snivel
贬低,bian3di1,to belittle;to disparage;to play down;to demean;to degrade;to devalue
标题,biao1ti2,title;heading;headline;caption;subject
波涛汹涌,bo1tao1xiong1yong3,tumultuous situations
布告,bu4gao4,posting on a bulletin board;notice;bulletin;to announce
不择手段,bu4ze2shou3duan4,by fair means or foul;by hook or by crook;unscrupulously
残留,can2liu2,to remain;left over;surplus;remnant
侧面,ce4mian4,lateral side;side;aspect;profile
偿还,chang2huan2,to repay;to reimburse
潮湿,chao2shi1,damp;moist
承包,cheng2bao1,to contract;to undertake (a job)
迟缓,chi2huan3,slow;sluggish
重阳节,Chong2yang2jie2,Double Ninth or Yang Festival;9th day of 9th lunar month
储蓄,chu3xu4,to deposit money;to save;savings
吹捧,chui1peng3,to flatter;to laud sb's accomplishments;adulation
摧残,cui1can2,to ravage;to ruin
打仗,da3zhang4,to fight a battle;to go to war
蛋白质,dan4bai2zhi4,protein
导弹,dao3dan4,guided missile;cruise missile;missile;CL:枚[mei2]
堤坝,di1ba4,dam
惦记,dian4ji4,remember with concern;worry about
栋,dong4,classifier for houses or buildings;ridgepole (old)
独裁,du2cai2,dictatorship
对抗,dui4kang4,to withstand;to resist;to stand off;antagonism;confrontation
耳环,er3huan2,earring;CL:隻|只[zhi1],對|对[dui4]
繁华,fan2hua2,flourishing;bustling
泛滥,fan4lan4,to be in flood;to overflow (the banks);to inundate;to spread unchecked
飞跃,fei1yue4,to leap
分手,fen1shou3,to split up;to break up
封锁,feng1suo3,to blockade;to seal off
腐烂,fu3lan4,to rot;to become gangrenous
副作用,fu4zuo4yong4,side effect
岗位,gang3wei4,a post;a job
格局,ge2ju2,structure;pattern;layout
宫殿,gong1dian4,palace;CL:座[zuo4]
工艺品,gong1yi4pin3,handicraft article;handiwork;CL:個|个[ge4]
股份,gu3fen4,a share (in a company);stock
灌溉,guan4gai4,to irrigate
国防,guo2fang2,national defense
罕见,han3jian4,rare;rarely seen
合伙,he2huo3,to act jointly;to form a partnership
洪水,hong2shui3,deluge;flood
化肥,hua4fei2,fertilizer
黄昏,huang2hun1,dusk;evening;nightfall
混淆,hun4xiao2,to obscure;to confuse;to mix up;to blur;to mislead
机灵,ji1ling,clever;quick-witted
急切,ji2qie4,eager;impatient
继往开来,ji4wang3kai1lai2,to follow the past and herald the future (idiom);part of a historical transition;forming a bridge between earlier and later stages
尖端,jian1duan1,sharp pointed end;the tip;the cusp;tip-top;most advanced and sophisticated;highest peak;the best
溅,jian4,splash
桨,jiang3,oar;paddle
皆,jie1,all;each and every;in all cases
解体,jie3ti3,to break up into components;to disintegrate;to collapse;to crumble
晋升,jin4sheng1,to promote to a higher position
精心,jing1xin1,with utmost care;fine;meticulous;detailed
就近,jiu4jin4,nearby;in a close neighborhood
剧本,ju4ben3,script for play, opera, movie etc;screenplay
开拓,kai1tuo4,to break new ground (for agriculture);to open up (a new seam);to develop (border regions);fig. to open up (new horizons)
科目,ke1mu4,subject
孔,kong3,aperture;opening;hole
款式,kuan3shi4,pattern;style;design;CL:種|种[zhong3]
懒惰,lan3duo4,idle;lazy
里程碑,li3cheng2bei1,milestone
联欢,lian2huan1,have a get-together
灵感,ling2gan3,inspiration;insight;a burst of creativity in scientific or artistic endeavor
留神,liu2shen2,to take care;to be careful
络绎不绝,luo4yi4bu4jue2,continuously;in an endless stream (idiom)
漫画,man4hua4,caricature;cartoon;Japanese manga
蒙,meng2,drizzle;mist
面貌,mian4mao4,appearance;face;features;CL:個|个[ge4]
摸索,mo1suo,to feel about;to grope about;to fumble;to do things slowly
目光,mu4guang1,sight;vision;view;gaze;look
捏,nie1,to pinch (with one's fingers);to knead;to make up
呕吐,ou3tu4,to vomit
配备,pei4bei4,to allocate;to provide;to outfit with
偏僻,pian1pi4,remote;desolate;far from the city
评估,ping2gu1,to evaluate;to assess;assessment;evaluation
朴实,pu3shi2,plain;simple;guileless;down-to-earth;sincere and honest
乞丐,qi3gai4,beggar
气象,qi4xiang4,meteorological feature;CL:個|个[ge4];meteorology;atmosphere or scene
潜水,qian2shui3,to dive;to go under water;lurker (Internet slang for sb who reads forum posts but never replies)
勤恳,qin2ken3,diligent and attentive;assiduous;sincere
情理,qing2li3,reason;sense
权衡,quan2heng2,to weigh;to consider;to assess;to balance;to trade-off
让步,rang4bu4,to concede;to give in;to yield;a concession
忍受,ren3shou4,to bear;to endure
柔和,rou2he2,gentle;soft
擅自,shan4zi4,without permission;of one's own initiative
摄氏度,she4shi4du4,degrees centigrade
审理,shen3li3,to hear (a case)
声誉,sheng1yu4,reputation;fame
时常,shi2chang2,often;frequently
释放,shi4fang4,to release;to set free;to liberate (a prisoner);to discharge
事业,shi4ye4,undertaking;project;activity;(charitable, political or revolutionary) cause;publicly funded institution, enterprise or foundation;career;occupation;CL:個|个[ge4]
书籍,shu1ji2,books;works
水利,shui3li4,water conservancy;irrigation works
搜索,sou1suo3,to search;to look for sth;to scour (search meticulously);to look sth up;internet search;database search
索性,suo3xing4,you might as well (do it);simply;just
糖葫芦,tang2hu2lu,sugar coated Chinese hawthorn fruit on a stick;tanghulu
体系,ti3xi4,system;setup;CL:個|个[ge4]
条约,tiao2yue1,treaty;pact;CL:個|个[ge4]
统计,tong3ji4,statistics;to count;to add up
推翻,tui1fan1,overthrow
歪曲,wai1qu1,to distort;to misrepresent
网络,wang3luo4,network (computing, telecommunications, transport etc);Internet
维修,wei2xiu1,maintenance (of equipment);to protect and maintain
窝,wo1,nest;pit or hollow on the human body;lair;den;place;to harbor or shelter;to hold in check;to bend;classifier for litters and broods
无微不至,wu2wei1bu4zhi4,in every possible way (idiom);meticulous
吸取,xi1qu3,to absorb;to draw (a lesson, insight etc);to assimilate
夏令营,xia4ling4ying2,summer camp
陷害,xian4hai4,to frame (up);to make false charges against
向来,xiang4lai2,always;all along
协助,xie2zhu4,provide assistance;aid
心血,xin1xue4,heart's blood;expenditure (for some project);meticulous care
性能,xing4neng2,function;performance
虚荣,xu1rong2,vanity
学历,xue2li4,educational background;academic qualifications
亚军,ya4jun1,second place (in a sports contest);runner-up
眼光,yan3guang1,vision
摇晃,yao2huang4,to rock;to shake;to sway
一举两得,yi1ju3liang3de2,one move, two gains (idiom);two birds with one stone
仪器,yi2qi4,instrument;apparatus;CL:臺|台[tai2]
意向,yi4xiang4,disposition
英勇,ying1yong3,bravery;gallant;valiant
优异,you1yi4,exceptional;outstandingly good
熨,yu4,reconciled;smooth
元首,yuan2shou3,head of state
栽培,zai1pei2,to grow;to cultivate
噪音,zao4yin1,rumble;noise;static
展现,zhan3xian4,to come out;to emerge
沼泽,zhao3ze2,marsh;swamp;wetlands;glade
镇定,zhen4ding4,calm;unperturbed;cool
整顿,zheng3dun4,to tidy up;to reorganize;to consolidate;to rectify
支流,zhi1liu2,tributary (river)
指望,zhi3wang4,to hope for sth;to count on;hope
忠诚,zhong1cheng2,devoted;fidelity;loyal;loyalty
舟,zhou1,boat
主流,zhu3liu2,main stream (of a river);fig. the essential point;main viewpoint of a matter
专利,zhuan1li4,patent
追究,zhui1jiu1,investigate;look into
自力更生,zi4li4geng1sheng1,regeneration through one's own effort (idiom);self-reliance
阻碍,zu3ai4,to obstruct;to hinder;to block
