挨,ai2,to suffer from;to endure;to tide over (a difficult period);to delay
扒,ba1,to hold on to;to cling to;to dig up;to rake;to push aside;to climb;to pull out;to strip off
颁布,ban1bu4,to issue;to proclaim;to enact (laws, decrees etc)
饱经沧桑,bao3jing1cang1sang1,having lived through many changes
暴露,bao4lu4,to expose;to reveal;to lay bare
奔驰,ben1chi2,to run quickly;to travel quickly;to move fast;Mercedes-Benz, German car make
臂,bi4,arm
辩护,bian4hu4,to speak in defense of;to argue in favor of;to defend;to plead
憋,bie1,to choke;to stifle;to restrain;to hold back;to hold in (urine);to hold (one's breath)
搏斗,bo2dou4,to wrestle;to fight;to struggle
不堪,bu4kan1,cannot bear;cannot stand;utterly;extremely
财富,cai2fu4,wealth;riches
苍白,cang1bai2,pale;wan
查获,cha2huo4,to investigate and capture (a criminal);to ferret out;to hunt down and arrest
场,chang3,threshing floor;classifier for events and happenings: spell, episode, bout
沉淀,chen2dian4,to settle;to precipitate (solid sediment out of a solution)
成交,cheng2jiao1,to complete a contract;to reach a deal
赤道,chi4dao4,equator (of the earth or astronomical body)
稠密,chou2mi4,dense
穿越,chuan1yue4,to pass through;to cross;to overcome
纯洁,chun2jie2,pure;clean and honest;to purify
挫折,cuo4zhe2,setback;reverse;check;defeat;frustration;disappointment;to frustrate;to discourage;to set sb back;to blunt;to subdue
大厦,da4sha4,large building;edifice;mansion;CL:座[zuo4]
淡水,dan4shui3,potable water (water with low salt content);fresh water
岛屿,dao3yu3,islands
抵制,di3zhi4,to resit;to boycott;to refuse (to cooperate);to reject;resistance;refusal
雕塑,diao1su4,a statue;a Buddhist image;sculpture;to carve
动静,dong4jing4,sound of activity or people talking;news of activity
杜绝,du4jue2,put an end to
兑现,dui4xian4,(of a cheque etc) to cash;to honor a commitment
发呆,fa1dai1,to daydream;lost in thought
反驳,fan3bo2,to retort;to refute
方针,fang1zhen1,policy;guidelines;CL:個|个[ge4]
废除,fei4chu2,to abolish;to abrogate;to repeal
粉碎,fen3sui4,crash;break up
奉献,feng4xian4,to consecrate;to dedicate;to devote
俯仰,fu3yang3,looking up and down;actions;being obliging
干旱,gan1han4,drought;arid;dry
高峰,gao1feng1,peak;summit;height
个体,ge4ti3,individual
攻击,gong1ji1,to attack;to accuse;to charge;an attack (terrorist or military)
