安宁,an1ning2,peaceful;tranquil;calm;composed
把手,ba3shou3,handle;grip;knob
半途而废,ban4tu2er2fei4,to give up halfway (idiom);leave sth unfinished
保障,bao3zhang4,to ensure;to guarantee;to safeguard
卑鄙,bei1bi3,base;mean;contemptible;despicable
本着,ben3zhe,based on...;in conformance with..;taking as one's main principle
鞭策,bian1ce4,to spur on;to urge on;to encourage sb (e.g. to make progress)
便于,bian4yu2,easy to;convenient for
冰雹,bing1bao2,hail;hailstone;CL:場|场[chang2],粒[li4]
哺乳,bu3ru3,breast feeding;to suckle;to nurse
部位,bu4wei4,position;place
采购,cai3gou4,to procure (for an enterprise etc);to purchase
操作,cao1zuo4,to work;to operate;to manipulate
馋,chan2,slander;defame;misrepresent;to speak maliciously
畅通,chang4tong1,unimpeded;free-flowing;straight path;unclogged;move without obstruction
沉重,chen2zhong4,heavy;hard;serious;critical
成效,cheng2xiao4,effect;result
充实,chong1shi2,rich;substantial;enrich;substantiate
出神,chu1shen2,entranced;Trance (music genre)
串,chuan4,to string together;to mix up;to conspire;to rove;bunch or cluster;string (computing);classifier for rows or strings
次品,ci4pin3,substandard products;defective;seconds
答复,da2fu4,to answer;to reply;Reply to: (in email header)
逮捕,dai4bu3,to arrest;to apprehend;an arrest
当务之急,dang1wu4zhi1ji2,top priority job;matter of vital importance
得罪,de2zui4,to commit an offense;to violate the law;excuse me! (formal);see also 得罪|得罪[de2 zui5]
颠簸,dian1bo3,to shake;to jolt;to bump
定期,ding4qi1,regularly;at regular intervals
洞穴,dong4xue2,cave;cavern
断断续续,duan4duan4xu4xu4,intermittent;off and on;discontinuous;stop-go;stammering;disjointed;inarticulate
堕落,duo4luo4,to morally degenerate;to become depraved;a fall from grace;a fall into sin or depravity
发行,fa1xing2,to publish;to issue (stocks, currency etc);to release;to distribute (a film)
反馈,fan3kui4,to send back information;feedback
纺织,fang3zhi1,spinning and weaving
分红,fen1hong2,a bonus;to award a bonus
封建,feng1jian4,system of enfeoffment;feudalism;feudal;feudalistic
符号,fu2hao4,symbol;mark;sign
复活,fu4huo2,to bring back to life;to revive;resurrection
感染,gan3ran3,infection;to infect;to influence
告辞,gao4ci2,to take leave
跟踪,gen1zong1,to follow sb's tracks;to tail;to shadow
公民,gong1min2,citizen
孤独,gu1du2,lonely;solitary
拐杖,guai3zhang4,crutches;crutch;walking stick
归还,gui1huan2,to return sth;to revert
过于,guo4yu2,too much;excessively
好客,hao4ke4,hospitality;to treat guests well;to enjoy having guests;hospitable;friendly
恨不得,hen4bude2,wishing one could do sth;to hate to be unable;itching to do sth;can't wait for;to wish one could do sth;to desire strongly
呼啸,hu1xiao4,to whistle;to scream;to whiz
还原,huan2yuan2,to restore to the original state;reduction (chemistry)
汇报,hui4bao4,to report;to give an account of;to collect information and report back
机动,ji1dong4,locomotive;motorized;power-driven;adaptable;flexible (use, treatment, timing etc)
疾病,ji2bing4,disease;sickness;ailment
忌讳,ji4hui4,taboo;to avoid as taboo;to abstain from
佳肴,jia1yao2,fine food;delicacies;delicious food
剪彩,jian3cai3,to cut the ribbon (at a launching or opening ceremony)
舰艇,jian4ting3,warship;naval vessel
交往,jiao1wang3,to associate;to contact;association;contact
