唉,ai1,interjection or grunt of agreement or recognition (e.g. yes, it's me!);to sigh
班主任,ban1zhu3ren4,a teacher in charge of a class
保持,bao3chi2,to keep;to maintain;to hold;to preserve
被子,bei4zi,quilt;CL:床[chuang2]
必然,bi4ran2,inevitable;certain;necessity
表面,biao3mian4,surface;face;outside;appearance
补充,bu3chong1,to replenish;to supplement;to complement;additional;supplementary;CL:個|个[ge4]
部门,bu4men2,department;branch;section;division;CL:個|个[ge4]
踩,cai3,to step on;to tread;to stamp;to press a pedal;to pedal (a bike)
操场,cao1chang3,playground;sports field;drill ground;CL:個|个[ge4]
拆,chai1,to tear open;to tear down;to tear apart;to open
吵架,chao3jia4,to quarrel;to have a row;CL:頓|顿[dun4]
乘,cheng2,to ride;to mount;to make use of;to avail oneself of;to take advantage of;to multiply (mathematics);Buddhist sect or creed
承受,cheng2shou4,to bear;to support;to inherit
冲,chong1,(of water) to dash against;to mix with water;to infuse;to rinse;to flush;to develop (a film);to rise in the air;to clash;to collide with
臭,chou4,stench;stink;smelly;to smell (bad)
处理,chu3li3,to handle;to treat;to deal with;to process;CL:個|个[ge4]
吹,chui1,to blow;to play a wind instrument;to blast;to puff;to boast;to brag;to end in failure;to fall through
从而,cong2er2,thus;thereby
措施,cuo4shi1,measure;step (to be taken);CL:個|个[ge4]
大方,da4fang1,expert;scholar;mother earth;a type of green tea
担任,dan1ren4,to hold a governmental office or post;to assume office of;to take charge of;to serve as
倒霉,dao3mei2,have bad luck;be out of luck
等待,deng3dai4,wait for;await
地毯,di4tan3,carpet;rug
顶,ding3,apex;crown of the head;top;roof;to carry on the head;to push to the top;to go against;most;to replace;to substitute;classifier for headwear, hats, veils etc;to agree or support (internet slang, similar to digg)
短信,duan3xin4,text message;SMS
蹲,dun1,to crouch;to squat
发挥,fa1hui1,to display;to exhibit;to bring out implicit or innate qualities;to express (a thought or moral);to develop (an idea);to elaborate (on a theme)
反复,fan3fu4,repeatedly;over and over
放松,fang4song1,to loosen;to relax
分配,fen1pei4,to distribute;to assign;to allocate
否定,fou3ding4,to negate;negative (answer);CL:個|个[ge4]
复制,fu4zhi4,to duplicate;to make a copy of;to copy;to reproduce;to clone
感激,gan3ji1,to express thanks;grateful;moved to gratitude
高速公路,gao1su4gong1lu4,expressway;highway;freeway
个人,ge4ren2,individual;personal;oneself
功夫,gong1fu,skill;art;kung fu;labor;effort
贡献,gong4xian4,to contribute;to dedicate;to devote;contribution;CL:個|个[ge4]
骨头,gu3tou,bone;strong character;CL:根[gen1],塊|块[kuai4]
怪不得,guai4bude,lit. you can't blame it!;no wonder!;so that's why!
罐头,guan4tou,tin;can;CL:個|个[ge4]
规矩,gui1ju,lit. compass and set square;fig. established standard;rule;customs;practices;fig. upright and honest;well-behaved
果实,guo3shi2,fruit;gains
行业,hang2ye4,industry;business
核心,he2xin1,core;nucleus
蝴蝶,hu2die2,butterfly;CL:隻|只[zhi1]
话题,hua4ti2,subject (of a talk or conversation);topic
黄金,huang2jin1,gold
活跃,huo2yue4,active;vigorous
集体,ji2ti3,collective;social;team;CL:個|个[ge4]
